Filename,T,P,HOA,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m3_o25_o153_f0_fsc.sym.22,313.0,0.4,5.651224,3.45,1574.15,0.798768,330.899,0.21108,1.755093
DB0-m2_o11_o25_f0_pcu.sym.99,313.0,0.4,5.645592,2.22,1692.95,0.78649,245.547,0.08708,1.247494
DB0-m9_o13_o27_f0_sra.sym.66,298.0,0.1,5.457422,2.86,2887.09,0.833328,430.131,0.17104,0.291075
DB0-m3_o4_o25_f0_nbo.sym.43,298.0,0.1,4.36327,3.95,15333.3,0.384123,2867.8,0.51144,0.205037
DB0-m3_o6_o17_f0_pcu,313.0,16.0,4.485478,3.03,3690.91,0.341623,737.517,0.51616,28.605505
DB0-m2_o19_o25_f0_nbo.sym.119,338.0,3.2,2.705281,5.0,17776.4,0.293714,2982.97,0.61606,1.42637
DB5-hypotheticalMOF_5020843_1_1_0_23_10_5,298.0,1.0,6.094969,5.19,3140.56,0.982508,469.196,0.06016,4.448736
DB0-m29_o82_o53_f0_pts.sym.1,298.0,0.1,5.582098,2.13,2923.2,0.626224,681.974,0.2603,0.676982
DB0-m3_o3_o7_f0_nbo.sym.25,313.0,16.0,2.707974,2.36,53601.1,0.157774,5405.88,0.7656,19.656347
DB0-m3_o7_o7_f0_pcu.sym.55,313.0,0.4,3.671106,1.79,10563.6,0.339435,1654.09,0.5586,0.53304
DB0-m3_o24_o520_f0_fsc.sym.34,313.0,16.0,7.045225,2.86,1174.87,1.11276,120.822,0.02996,6.457456
DB0-m2_o24_o27_f0_pcu.sym.78,313.0,16.0,8.200703,2.0,1936.17,0.843787,344.378,0.13168,12.11772
DB0-m3_o7_o19_f0_pcu.sym.40,338.0,0.26,4.131666,1.96,3548.58,0.539755,630.605,0.3546,0.246119
DB0-m2_o9_o9_f0_nbo.sym.61,313.0,16.0,6.946485,2.44,5086.03,0.780757,766.069,0.1748,12.670673
DB0-m2_o2_o3_f0_nbo.sym.24,313.0,0.4,2.737588,3.03,34804.8,0.22278,4266.46,0.71132,0.356416
DB1-Zn2O8N2-ADC_A-BDC_A_No834,313.0,0.4,5.196465,2.25,3218.21,0.453803,646.629,0.42164,0.986189
DB5-hypotheticalMOF_5047210_3_0_1_19_11_0,313.0,0.4,4.065899,3.45,2474.87,0.44501,640.641,0.37962,0.703337
DB0-m3_o9_o17_f0_nbo.sym.118,338.0,3.2,4.552065,2.73,7183.26,0.54997,1397.75,0.34624,4.241918
DB0-m3_o160_o46_f0_fsc.sym.50,338.0,3.2,8.011251,3.39,1015.47,1.18178,129.659,0.07354,4.320055
DB0-m3_o1530_o19_f0_fsc.sym.10,313.0,0.4,5.98608,4.0,1121.81,0.904668,220.424,0.13984,2.943349
DB0-m2_o6_o17_f0_pcu.sym.104,338.0,3.2,4.057537,1.89,3493.54,0.634831,682.375,0.28822,2.722902
DB0-m2_o25_lon,298.0,1.0,2.864477,4.0,15926.4,0.251687,2375.37,0.65168,0.974733
DB0-m29_o90_o420_f0_pts.sym.46,338.0,0.26,4.478789,2.6,2454.75,0.599515,559.804,0.2785,0.344826
DB0-m29_o96_o1500_f0_pts.sym.46,313.0,16.0,6.303043,1.6,4707.6,0.453876,957.291,0.39828,29.582794
DB0-m29_o80_o153_f0_pts.sym.9,313.0,0.4,5.784394,2.33,2269.93,0.752605,331.943,0.21402,2.591356
DB6-cuf_1971,338.0,3.2,4.093293,1.92,3837.74,0.474174,762.674,0.41464,3.09608
DB0-m3_o3_o10_f0_pcu.sym.21,313.0,16.0,5.158795,2.22,3150.85,0.560435,682.824,0.34784,19.731266
DB0-m3_o12_o148_f0_pcu,313.0,0.4,4.863324,2.94,2020.57,0.607604,426.201,0.27268,1.365987
DB0-m3_o160_o1510_f0_fsc.sym.12,298.0,0.1,6.593987,2.5,2216.27,0.625206,456.249,0.26268,0.615788
DB0-m3_o8_o28_f0_pcu.sym.46,298.0,0.1,3.339137,1.75,6368.82,0.313838,1107.47,0.56444,0.215219
DB5-hypotheticalMOF_5068328_0_0_2_20_10_8,313.0,16.0,6.744319,2.94,1569.07,0.808114,294.021,0.12642,13.091381
DB1-Cu2N8-ADC_B-irmof6_B_No328,298.0,0.1,5.771214,3.85,2164.56,0.975075,325.48,0.17732,0.961182
DB0-m2_o25_o27_f0_nbo.sym.178,298.0,1.0,3.091114,3.3,38859.9,0.183463,4456.96,0.73896,1.066601
DB7-ddmof_20901,298.0,1.0,4.053657,1.32,14880.4,0.287056,2073.39,0.57828,1.938861
DB0-m3_o8_o20_f0_pcu.sym.61,313.0,16.0,4.691153,2.17,3941.7,0.402546,772.636,0.46182,21.959841
DB0-m29_o90_o53_f0_pts.sym.9,313.0,16.0,6.128562,2.17,3445.78,0.583925,776.741,0.32476,21.657659
DB6-cuf_701,298.0,1.0,3.64283,1.96,3468.32,0.489254,745.533,0.35708,2.979566
DB7-ddmof_21083,338.0,0.26,5.016195,2.19,23312.3,0.396137,3549.06,0.50502,0.533884
DB0-m29_o88_o450_f0_pts.sym.18,338.0,3.2,4.231637,2.94,2613.41,0.542721,551.429,0.3618,2.862282
