Filename,T,P,HOA,Metal node,M%,UCV,D,ASA,AVAF,Adsorption
DB6-cuf_8922,338.0,0.26,4.036083,Cu,2.08,3412.63,0.49137,774.736,0.34302,0.283651
DB0-m3_o520_o159_f0_fsc.sym.6,313.0,0.4,6.379101,Zn,2.5,1718.69,0.840036,310.042,0.13726,2.123617
DB0-m18_o17_o80_f0_fsc,298.0,0.1,9.106086,Fe,3.33,1084.77,1.05652,163.895,0.06302,4.132961
DB0-m3_o13_o23_f0_pcu.sym.79,313.0,16.0,5.684419,Zn,2.27,2486.79,0.536542,566.507,0.29864,23.540768
DB1-Cu2O8N2-ADC_A-AZO_A_No293,338.0,3.2,4.292175,Cu,2.08,4776.79,0.408623,805.553,0.53022,2.284613
DB0-m3_o9_o25_f0_pcu.sym.67,313.0,16.0,6.599782,Zn,1.32,2720.35,0.717914,396.184,0.08212,10.30724
DB0-m2_o18_bbk,338.0,3.2,3.559517,Cu,2.86,19212.5,0.391883,3728.17,0.48814,4.021308
DB0-m3_o25_o82_f0_fsc.sym.10,338.0,3.2,7.879778,Zn,3.28,1254.57,0.97052,218.936,0.13712,7.004864
DB0-m3_o156_o45_f0_fsc.sym.12,298.0,0.1,6.21341,Zn,2.27,1912.16,0.796798,397.739,0.16472,1.608429
DB0-m3_o46_o158_f0_fsc.sym.3,298.0,1.0,11.438639,Zn,2.63,1030.28,1.27556,108.819,0.03114,1.908299
DB1-Cu2O8N2-DPAC_A-irmof8_A_No690,313.0,0.4,3.9073,Cu,2.02,8360.25,0.399587,1445.26,0.50578,0.453356
DB0-m29_o84_o46_f0_pts.sym.39,313.0,16.0,8.553695,Fe,2.82,1514.3,0.908192,269.561,0.11558,12.146012
DB0-m9_o2_o6_f0_sra.sym.43,313.0,16.0,6.154584,V,3.7,3259.56,0.654397,540.579,0.30708,18.676375
DB0-m29_o84_o420_f0_pts.sym.48,313.0,16.0,7.91558,Fe,2.86,1911.91,0.731463,384.005,0.21628,17.397398
DB0-m3_o430_o22_f0_fsc.sym.7,298.0,0.1,7.381946,Zn,2.56,1145.89,1.10912,100.582,0.03222,1.056611
DB0-m3_o12_o21_f0_pcu.sym.111,313.0,0.4,5.449781,Zn,3.85,1560.94,0.641633,335.045,0.25314,0.946601
DB0-m3_o14_o29_f0_pcu.sym.68,298.0,0.1,5.518722,Zn,1.72,2980.66,0.646112,677.01,0.21696,0.701558
DB0-m3_o6_o8_f0_pcu.sym.113,313.0,16.0,5.310479,Zn,1.56,4135.53,0.592975,747.462,0.30264,15.973247
DB0-m3_o12_o17_f0_pcu.sym.34,338.0,3.2,5.69995,Zn,3.03,1679.18,0.697461,391.944,0.20266,5.265149
DB0-m3_o160_o112_f0_fsc.sym.11,298.0,1.0,6.381212,Zn,3.39,1073.89,1.09525,149.89,0.16276,4.240528
DB0-m3_o4_o7_f0_nbo.sym.34,298.0,0.1,4.385589,Zn,4.0,17085.4,0.338513,2843.66,0.56994,0.219123
DB0-m29_o89_o1490_f0_pts.sym.39,338.0,0.26,5.871104,Fe,2.06,2164.02,0.760008,367.251,0.15632,0.664623
DB0-m3_o7_o14_f0_nbo.sym.117,313.0,16.0,3.41727,Zn,3.37,27557.0,0.240761,3739.87,0.67464,17.359286
DB0-m18_o47_o152_f0_fsc,338.0,0.26,5.403108,Fe,3.64,1266.93,0.842934,269.322,0.16284,0.921651
DB0-m3_o11_o20_f0_nbo.sym.44,298.0,1.0,4.678771,Zn,3.61,14318.6,0.500351,2803.04,0.3957,2.141525
DB0-m2_o3_o4_f0_nbo.sym.25,338.0,0.26,2.177452,Cu,3.16,32018.3,0.22516,4081.65,0.69588,0.152976
